Date,Open,High,Low,Close,Adj Close,Volume,Price,daily_return,sma20,price_vs_sma20,sma50,price_vs_sma50,sma100,price_vs_sma100,sma200,price_vs_sma200,ath,current_drawdown,high_252d,drawdown_from_252d_high,drawdown_percentile,rsi14,volume_sma20,volume_sma50,volume_ratio_20,volume_ratio_50,abnormal_volume_1_5x,abnormal_volume_2_0x,return_5d,return_20d,return_60d,return_120d,return_252d,volatility_20d,volatility_60d,volatility_60d_percentile
2023-08-28,177.625,178.9499969482422,176.14999389648438,177.64999389648438,151.29019165039062,10985570,151.29019165039062,,,,,,,,,,151.29019165039062,0.0,,,0.9604026845637584,,,,,,False,False,,,,,,,,
2023-08-29,178.0,179.3000030517578,177.39999389648438,178.39999389648438,151.9289093017578,6253738,151.9289093017578,0.004221804760768499,,,,,,,,,151.9289093017578,0.0,,,0.9604026845637584,,,,,,False,False,,,,,,,,
2023-08-30,176.60000610351562,177.39999389648438,175.10000610351562,175.97500610351562,149.86373901367188,9709432,149.86373901367188,-0.01359300410683617,,,,,,,,,151.9289093017578,-0.01359300410683617,,,0.8483221476510067,,,,,,False,False,,,,,,,,
2023-08-31,175.5,176.0,169.5500030517578,170.27499389648438,145.00949096679688,13575650,145.00949096679688,-0.032391077913998645,,,,,,,,,151.9289093017578,-0.045543789965724946,,,0.6899328859060403,,,,,,False,False,,,,,,,,
2023-09-01,170.52499389648438,172.4499969482422,170.27499389648438,172.10000610351562,146.563720703125,9980752,146.563720703125,0.010718124213566105,,,,,,,,,151.9289093017578,-0.03531380975016807,,,0.7463087248322148,,,,,,False,False,,,,,,,,
2023-09-04,172.3249969482422,174.375,171.39999389648438,172.35000610351562,146.776611328125,6898572,146.776611328125,0.0014525465372923207,,,,,,,,,151.9289093017578,-0.03391255816494698,,,0.7543624161073825,,,,,,False,False,-0.029833925603689138,,,,,,,
2023-09-05,172.9499969482422,176.3000030517578,172.625,175.10000610351562,149.1185760498047,8363178,149.1185760498047,0.01595598031926304,,,,,,,,,151.9289093017578,-0.018497685956339605,,,0.8241610738255034,,,,,,False,False,-0.018497685956339605,,,,,,,
2023-09-06,174.97500610351562,176.9250030517578,174.02499389648438,176.5749969482422,150.3747100830078,6751054,150.3747100830078,0.008423726047273927,,,,,,,,,151.9289093017578,-0.010229779348070567,,,0.8644295302013423,,,,,,False,False,0.0034095710723547334,,,,,,,
2023-09-07,177.0,178.125,176.5749969482422,177.3000030517578,150.9921417236328,7249346,150.9921417236328,0.0041059539884344964,,,,,,,,,151.9289093017578,-0.006165828362951098,,,0.8885906040268456,,,,,,False,False,0.04125695991999456,,,,,,,
2023-09-08,177.375,182.25,177.02499389648438,180.9750061035156,154.12184143066406,10344130,154.12184143066406,0.02072756682105803,,,,,,,,,154.12184143066406,0.0,,,0.9604026845637584,,,,,,False,False,0.051568837712905546,,,,,,,
2023-09-11,182.6000061035156,184.375,180.3500061035156,181.875,154.8883056640625,10452850,154.8883056640625,0.004973105864059191,,,,,,,,,154.8883056640625,0.0,,,0.9604026845637584,,,,,,False,False,0.055265578504217316,,,,,,,
