Date,Open,High,Low,Close,Adj Close,Volume
2023-08-28,4259.89990234375,4310.0,4245.0,4264.10009765625,4143.43701171875,197684
2023-08-29,4274.89990234375,4329.9501953125,4244.10009765625,4318.85009765625,4196.63720703125,187724
2023-08-30,4335.0,4365.0,4323.5,4345.9501953125,4222.97119140625,187244
2023-08-31,4360.0,4390.0,4346.0,4381.5498046875,4257.5634765625,432110
2023-09-01,4381.35009765625,4399.0,4271.0,4291.4501953125,4170.01318359375,164901
2023-09-04,4300.0,4328.0,4245.25,4309.2998046875,4187.357421875,298303
2023-09-05,4339.4501953125,4450.0,4315.10009765625,4440.7998046875,4315.13623046875,306152
2023-09-06,4469.89990234375,4540.0,4443.0498046875,4500.2998046875,4372.953125,504897
2023-09-07,4506.9501953125,4507.0,4442.5498046875,4448.60009765625,4322.7158203125,193416
2023-09-08,4464.89990234375,4515.0,4435.0,4458.5498046875,4332.3837890625,231272
2023-09-11,4484.9501953125,4678.0,4460.0498046875,4618.85009765625,4488.1484375,684497
2023-09-12,4641.89990234375,4641.89990234375,4384.0,4401.89990234375,4277.33740234375,433279
2023-09-13,4419.0,4423.2001953125,4260.0,4341.10009765625,4218.25830078125,362583
2023-09-14,4360.0498046875,4387.5,4316.2998046875,4366.2001953125,4242.64794921875,138301
2023-09-15,4390.0,4396.89990234375,4340.60009765625,4379.39990234375,4255.47412109375,223156
2023-09-18,4377.0,4385.7998046875,4305.7001953125,4320.2998046875,4198.0458984375,105351
2023-09-20,4302.0,4427.89990234375,4285.10009765625,4329.0498046875,4206.54931640625,275335
2023-09-21,4345.0,4356.2001953125,4260.0,4276.2001953125,4155.19384765625,146287
2023-09-22,4317.0,4317.0,4165.0,4187.0,4068.51806640625,250138
2023-09-25,4219.2998046875,4219.64990234375,4123.0,4176.89990234375,4058.704345703125,274277
2023-09-26,4160.10009765625,4223.0,4151.2998046875,4205.2001953125,4086.203857421875,179832
2023-09-27,4225.0,4240.25,4168.7998046875,4233.35009765625,4113.55712890625,217834
2023-09-28,4250.0,4250.0,4087.699951171875,4101.7001953125,3985.63232421875,259081
2023-09-29,4120.0,4147.9501953125,4089.60009765625,4098.25,3982.280029296875,270878
